source,target,attributes
HKG::Q_1011,HKG::RPSR_2,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::RPSR_3,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::RPSR_156B,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::RPSR_17,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::RPSR_33,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::RPSR_9637,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::RPSR_9837A,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::RPSR_38,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::RPSR_9938A,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::RPSR_39,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::RPSR_46,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::MEPS_15,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::MEPS_28,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::PGA_7,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::EPF_7D,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::ESI_55,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::IRC_44,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::IRC_45,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::IRC_46,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::IRC_47,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::IRC_48,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::IRC_49,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::IRC_50,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::IRC_54,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::ID_CENTRAL_10,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::ID_CENTRAL_29,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::ID_CENTRAL_99,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::EPF_AT_1,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::EPF_AT_2,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::EPF_AT_3,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::EPF_AT_4,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::EPF_AT_5,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::EPF_AT_6,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::EPF_AT_7,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::EPF_AT_11,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::EPF_AT_12,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::EPF_AT_13,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::EPF_AT_14,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::EPF_AT_15,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::EPF_AT_16,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::EPF_AT_17,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::EPF_AT_18,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::EPF_AT_19,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::EPF_AT_21,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::EPF_AT_22,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::EPF_AT_23,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::EPF_AT_24,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::EPF_AT_25,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::EPF_AT_26,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::EPF_AT_27,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::EPF_AT_28,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::EPF_AT_29,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::ATA_19,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::RPSR_6,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::MEPS_39,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::MEPS_43,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::DPDP_29,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::DPDP_30,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::FIN_A_50,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::FIN_A_51,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::FIN_A_129,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::FIN_A_146,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::FIN_A_148,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::FIN_A_1992,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::FIN_A_15J,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::FIN_A_158,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::FIN_A_159,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::FIN_A_1952,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::FIN_A_161,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::FIN_A_1999,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::FIN_A_162,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::FIN_A_163,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::FIN_A_1989,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::FIN_A_164,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::FIN_A_165,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::FIN_A_166,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::FIN_A_167,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::FIN_A_168,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::FIN_A_1997,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::FIN_A_169,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::FIN_A_170,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::FIN_A_171,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::FIN_A_172,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::FIN_A_173,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::FIN_A_1961,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::FIN_A_175,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::FIN_A_176,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::FIN_A_178,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::FIN_A_179,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::FIN_A_180,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::FIN_A_181,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::FIN_A_183,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::FIN_A_185,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::GST_109,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::GST_110,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::GST_111,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::GST_112,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::GST_113,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1011,HKG::COMP_242,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1012,HKG::gratuity,"{'type': 'RELATES_TO', 'source_graph': 'HKG'}"
HKG::Q_1012,HKG::PGA_4,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1012,HKG::PGA_7,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1012,HKG::CCS_ME_3,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1012,HKG::MEPS_17,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1012,HKG::MEPS_28,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1012,HKG::MEPS_34,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1012,HKG::FIN_A_185,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1012,HKG::BTC_201,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1012,HKG::BTC_236,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1012,HKG::BTC_240,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::notice_period,"{'type': 'RELATES_TO', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::labour_court,"{'type': 'RELATES_TO', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::wages,"{'type': 'RELATES_TO', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::MEPS_26,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::MEPS_40,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::PGA_7,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::EPF_7D,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::ESI_55,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::IRC_44,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::IRC_45,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::IRC_46,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::IRC_47,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::IRC_48,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::IRC_49,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::IRC_50,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::IRC_54,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::ID_CENTRAL_10,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::ID_CENTRAL_29,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::ID_CENTRAL_99,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::EPF_AT_1,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::EPF_AT_2,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::EPF_AT_3,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::EPF_AT_4,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::EPF_AT_5,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::EPF_AT_6,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::EPF_AT_7,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::EPF_AT_11,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::EPF_AT_12,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::EPF_AT_13,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::EPF_AT_14,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::EPF_AT_15,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::EPF_AT_16,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::EPF_AT_17,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::EPF_AT_18,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::EPF_AT_19,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::EPF_AT_21,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::EPF_AT_22,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::EPF_AT_23,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::EPF_AT_24,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::EPF_AT_25,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::EPF_AT_26,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::EPF_AT_27,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::EPF_AT_28,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::EPF_AT_29,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::ATA_19,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::RPSR_6,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::MEPS_39,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::MEPS_43,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::DPDP_29,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::DPDP_30,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::FIN_A_50,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::FIN_A_51,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::FIN_A_129,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::FIN_A_146,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::FIN_A_148,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::FIN_A_1992,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::FIN_A_15J,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::FIN_A_158,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::FIN_A_159,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::FIN_A_1952,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::FIN_A_161,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::FIN_A_1999,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::FIN_A_162,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::FIN_A_163,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::FIN_A_1989,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::FIN_A_164,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::FIN_A_165,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::FIN_A_166,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::FIN_A_167,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::FIN_A_168,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::FIN_A_1997,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::FIN_A_169,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::FIN_A_170,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::FIN_A_171,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::FIN_A_172,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::FIN_A_173,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::FIN_A_1961,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::FIN_A_175,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::FIN_A_176,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::FIN_A_178,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::FIN_A_179,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::FIN_A_180,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::FIN_A_181,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::FIN_A_183,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::FIN_A_185,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::GST_109,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::GST_110,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::GST_111,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::GST_112,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::GST_113,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::COMP_242,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::DSEA_147,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::IDA_17B,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::EPF_12,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::ESI_72,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::ISM_12,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::ISM_17,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::MTW_24,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::MTW_25,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::MTW_26,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::MTW_27,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::MTW_28,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::MTW_40,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::IRC_56,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::WAGE_C_4,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::WAGE_C_5,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::WAGE_C_6,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::WAGE_C_7,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::WAGE_C_8,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::WAGE_C_10,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::WAGE_C_11,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::WAGE_C_12,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::WAGE_C_14,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::WAGE_C_15,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::WAGE_C_17,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::WAGE_C_18,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::WAGE_C_69,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::WAGE_C_2018,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::BONUS_RULES_4,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::EC_RULES_3,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::EC_RULES_55,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::EC_RULES_62,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::EC_RULES_63,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::EC_RULES_68,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::EC_RULES_69,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::EC_RULES_70,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::ICA_73,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::RPSR_237E,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::MEPS_13,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::MEPS_17,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::MEPS_21,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::MEPS_28,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::MEPS_34,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::DPDP_20,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::INC_T_192,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::BTC_64,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::BTC_65,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::BTC_117,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::BTC_150,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::BTC_152,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::BTC_160,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::BTC_164,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::BTC_180,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::BTC_248,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::BTC_249,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::BTC_250,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::BTC_252,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::BTC_303,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::DSEA_18,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::DSEA_19,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::DSEA_20,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::DSEA_21,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::DSEA_23,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::DSEA_49,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::DSEA_1955,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::KSEA_5C,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::KSEA_16,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::KSEA_17,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::KSEA_18,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::KSEA_3,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1013,HKG::KSEA_4,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1015,HKG::govt_service,"{'type': 'RELATES_TO', 'source_graph': 'HKG'}"
HKG::Q_1015,HKG::ATA_19,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_1016,HKG::wages,"{'type': 'RELATES_TO', 'source_graph': 'HKG'}"
HKG::Q_1016,HKG::IDA_17B,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
